filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,listmethod,memory,method
clusters6,11,27648,223.764,0.26501399999999997,0.13855599999999998,223.304,0,27.400000000000002,ANN
corners,11,28158,1342.73,0.701913,0.445528,1341.52,0,50.972,ANN
corners,11,28158,1345.19,0.711435,0.451737,1343.96,0,50.908,ANN
corners,11,28158,1336.39,0.700407,0.44291,1335.18,0,51.132,ANN
corners,11,28158,1340.65,0.701537,0.438849,1339.45,0,50.980000000000004,ANN
corners,11,28158,1337.01,0.708696,0.446213,1335.78,0,51.056000000000004,ANN
corners,2,7200,63.6118,0.12655999999999998,0.0902768,63.3777,0,16.044,ANN
corners,2,7200,63.033,0.125192,0.08902339999999999,62.8041,0,16.052,ANN
corners,2,7200,63.6507,0.12738,0.09034310000000001,63.416000000000004,0,15.94,ANN
corners,2,7200,62.4661,0.12261500000000002,0.08772360000000001,62.2415,0,15.996,ANN
corners,2,7200,64.2454,0.125334,0.0899049,64.0139,0,16.068,ANN
diagonal,11,29424,1178.83,0.671547,0.409038,1177.68,0,48.668,ANN
diagonal,11,29424,1167.52,0.670836,0.40936300000000003,1166.37,0,48.82,ANN
diagonal,11,29424,1176.69,0.6773020000000001,0.414488,1175.53,0,48.652,ANN
diagonal,11,29424,1170.95,0.675854,0.410501,1169.79,0,48.812,ANN
diagonal,11,29424,1166.38,0.666806,0.407999,1165.24,0,48.78,ANN
