time,sizex,sizey,sizez,filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,interactionlistmethod
2018-12-04T21:13:46.375164,0.005,0.01,0.005,diagonal,0.117696,29424,18.3482,0.0424961,0.0339546,18.2637,0
2018-12-04T21:14:05.292781,0.005,0.01,0.005,corners,0.148176,37044,24.4837,0.0527855,0.0437532,24.3784,0
2018-12-04T21:14:30.340132,0.005,0.01,0.005,corners,0.148176,37044,24.4412,0.0525054,0.043672,24.3367,0
2018-12-04T21:14:55.345809,0.005,0.01,0.005,corners,0.148176,37044,24.4223,0.0521124,0.0434136,24.3183,0
2018-12-06T10:16:07.785622,0.005,0.01,0.005,full,1.0,250000,2.61229,0.0335029,0.016663,2.53822,1
2018-12-06T10:16:12.194050,0.005,0.01,0.005,full,1.0,250000,1.90245,0.0181987,0.0113578,1.85807,1
2018-12-06T10:16:15.499386,0.005,0.01,0.005,full,1.0,250000,1.73782,0.0121097,0.00879384,1.7066,1
2018-12-06T10:16:17.810642,0.005,0.01,0.005,clusters2,0.110592,27648,9.27821,0.0390534,0.0305687,9.19873,1
2018-12-06T10:16:27.691024,0.005,0.01,0.005,clusters2,0.110592,27648,9.51933,0.0403977,0.0309421,9.43687,1
2018-12-06T10:16:37.788939,0.005,0.01,0.005,clusters2,0.110592,27648,9.34312,0.0393957,0.0306379,9.26126,1
2018-12-06T10:16:47.735084,0.005,0.01,0.005,clusters4,0.110592,27648,3.72617,0.0212232,0.015006,3.68125,1
2018-12-06T10:16:52.044104,0.005,0.01,0.005,clusters4,0.110592,27648,4.01899,0.0236645,0.0160467,3.96852,1
2018-12-06T10:16:56.630248,0.005,0.01,0.005,clusters4,0.110592,27648,3.82011,0.022829,0.0155367,3.7705,1
2018-12-06T10:17:01.050142,0.005,0.01,0.005,clusters6,0.110592,27648,2.07697,0.0147348,0.00988309,2.04375,1
2018-12-06T10:17:03.727576,0.005,0.01,0.005,clusters6,0.110592,27648,2.09011,0.0148357,0.00982906,2.05476,1
2018-12-06T10:17:06.422570,0.005,0.01,0.005,clusters6,0.110592,27648,2.06528,0.0147008,0.00973413,2.03013,1
2018-12-06T10:17:09.468381,0.005,0.01,0.005,clusters5,0.512,128000,2.61914,0.0160389,0.01113,2.58109,1
2018-12-06T10:17:13.089131,0.005,0.01,0.005,clusters5,0.512,128000,2.8073,0.0189687,0.0125018,2.76555,1
2018-12-06T10:17:16.904605,0.005,0.01,0.005,clusters5,0.512,128000,2.66507,0.0173432,0.0117255,2.62572,1
2018-12-06T10:17:20.552344,0.005,0.01,0.005,clusters10,0.512,128000,2.00503,0.0147193,0.00985184,1.96729,1
2018-12-06T10:17:23.562588,0.005,0.01,0.005,clusters10,0.512,128000,2.26075,0.0200638,0.0120521,2.22025,1
2018-12-06T10:17:26.899745,0.005,0.01,0.005,clusters10,0.512,128000,2.37847,0.0204205,0.0118262,2.33686,1
2018-12-06T10:17:30.452118,0.005,0.01,0.005,clusters20,0.512,128000,1.95186,0.0163001,0.0100201,1.91265,1
2018-12-06T10:17:33.463996,0.005,0.01,0.005,clusters20,0.512,128000,1.81591,0.0140378,0.00923497,1.78434,1
2018-12-06T10:17:36.268945,0.005,0.01,0.005,clusters20,0.512,128000,1.80412,0.0141022,0.00902463,1.76881,1
2018-12-06T10:17:38.676523,0.005,0.01,0.005,corners,0.112632,28158,15.1711,0.0566696,0.0464753,15.0568,1
2018-12-06T10:17:54.480291,0.005,0.01,0.005,corners,0.112632,28158,15.9239,0.0620008,0.0489361,15.8012,1
2018-12-06T10:18:11.050451,0.005,0.01,0.005,corners,0.112632,28158,16.8067,0.0676277,0.0512873,16.6722,1
2018-12-06T10:18:28.427374,0.005,0.01,0.005,corners,0.0288,7200,15.4651,0.0653679,0.0514546,15.3353,1
2018-12-06T10:18:44.561894,0.005,0.01,0.005,corners,0.0288,7200,15.6308,0.065622,0.051404,15.4979,1
2018-12-06T10:19:00.757814,0.005,0.01,0.005,corners,0.0288,7200,14.8303,0.0582974,0.0469166,14.7114,1
2018-12-06T10:19:16.245188,0.005,0.01,0.005,diagonal,0.117696,29424,11.5139,0.0531221,0.0389828,11.4083,1
2018-12-06T10:19:28.417758,0.005,0.01,0.005,diagonal,0.117696,29424,11.3635,0.0498578,0.0370318,11.267,1
2018-12-06T10:19:40.400199,0.005,0.01,0.005,diagonal,0.117696,29424,10.7367,0.0488749,0.0364926,10.6386,1
2018-12-06T10:19:51.753594,0.005,0.01,0.005,corners,0.148176,37044,16.4051,0.0720718,0.0517529,16.2708,1
2018-12-06T10:20:08.794733,0.005,0.01,0.005,corners,0.148176,37044,15.1654,0.0624337,0.0483257,15.0386,1
2018-12-06T10:20:24.730457,0.005,0.01,0.005,corners,0.148176,37044,13.7529,0.0534093,0.0435165,13.6445,1
2018-12-06T10:21:07.579331,0.005,0.01,0.005,full,1.0,250000,2.06897,0.0230009,0.0133768,2.0152,1
2018-12-06T10:21:11.276620,0.005,0.01,0.005,full,1.0,250000,2.02378,0.0209391,0.0113985,1.98157,1
2018-12-06T10:21:14.838862,0.005,0.01,0.005,full,1.0,250000,1.72314,0.0117804,0.00843644,1.69523,1
2018-12-06T10:21:17.106783,0.005,0.01,0.005,clusters2,0.110592,27648,9.21391,0.0383424,0.0299846,9.13608,1
2018-12-06T10:21:26.894658,0.005,0.01,0.005,clusters2,0.110592,27648,9.13353,0.0373355,0.029821,9.05764,1
2018-12-06T10:21:36.615846,0.005,0.01,0.005,clusters2,0.110592,27648,10.7246,0.0450717,0.0332273,10.6368,1
2018-12-06T10:21:47.969391,0.005,0.01,0.005,clusters4,0.110592,27648,3.86185,0.0223641,0.0156873,3.81395,1
2018-12-06T10:21:52.430925,0.005,0.01,0.005,clusters4,0.110592,27648,3.71365,0.0214228,0.0149464,3.66737,1
2018-12-06T10:21:56.733820,0.005,0.01,0.005,clusters4,0.110592,27648,3.69724,0.0205187,0.0143127,3.65343,1
2018-12-06T10:22:01.018973,0.005,0.01,0.005,clusters6,0.110592,27648,2.07418,0.0150967,0.00993113,2.04068,1
2018-12-06T10:22:03.663834,0.005,0.01,0.005,clusters6,0.110592,27648,2.03348,0.0144893,0.00957653,1.99977,1
2018-12-06T10:22:06.298958,0.005,0.01,0.005,clusters6,0.110592,27648,2.07402,0.0147575,0.00975875,2.03782,1
2018-12-06T10:22:09.353836,0.005,0.01,0.005,clusters5,0.512,128000,2.52851,0.0154921,0.010605,2.49377,1
2018-12-06T10:22:12.863290,0.005,0.01,0.005,clusters5,0.512,128000,2.5389,0.015865,0.0107852,2.50365,1
2018-12-06T10:22:16.348609,0.005,0.01,0.005,clusters5,0.512,128000,2.6172,0.0162582,0.0111682,2.581,1
2018-12-06T10:22:19.971489,0.005,0.01,0.005,clusters10,0.512,128000,1.95623,0.0146554,0.00963741,1.92238,1
2018-12-06T10:22:22.898846,0.005,0.01,0.005,clusters10,0.512,128000,1.96935,0.0146257,0.00958832,1.93698,1
